100,100,1573,262824
100,100,1463,264054
100,100,1527,264036
100,100,1578,458675
100,100,1765,263678
100,100,1412,263201
100,100,1405,263579
100,100,1646,261965
100,100,1519,264735
100,100,1730,265099
100,100,1772,264232
100,100,1611,425088
100,100,1352,266899
100,100,1674,270590
100,100,1293,265392
100,100,1444,264348
100,100,1502,264932
100,100,1403,263905
100,100,1429,264011
100,100,1610,263889
200,100,2134,535869
200,100,2157,539917
200,100,2011,529110
200,100,1797,535266
200,100,1784,528419
200,100,1804,626713
200,100,1883,564613
200,100,1854,528719
200,100,2099,576132
200,100,2352,536326
200,100,2138,541918
200,100,1929,542602
200,100,2082,534691
200,100,1977,541727
200,100,1898,539173
200,100,2469,563354
200,100,2216,530824
200,100,2093,529666
200,100,2148,531487
200,100,1892,1020324
400,100,2637,1069227
400,100,2878,1066589
400,100,2649,1062643
400,100,3362,1066197
400,100,2581,1065974
400,100,2646,1070072
400,100,2952,1057849
400,100,3085,1067324
400,100,2873,1092751
400,100,2886,1058264
400,100,3220,1062749
400,100,2856,1067317
400,100,2742,1063959
400,100,2654,1542347
400,100,2980,1062177
400,100,2373,1069448
400,100,2511,1062376
400,100,2961,1066359
400,100,2933,1070357
400,100,2832,1065109
800,100,3330,2123060
800,100,3388,2116542
800,100,3559,2128089
800,100,3781,2107928
800,100,3498,2861499
800,100,3421,2147042
800,100,3107,2103377
800,100,3639,2105491
800,100,3789,2115818
800,100,3466,2114445
800,100,3526,3430692
800,100,3798,2131372
800,100,3339,2124553
800,100,3409,2114608
800,100,3772,4350982
800,100,3389,2369550
800,100,3838,2140921
800,100,3480,2346055
800,100,3520,2110945
800,100,3646,2111302
1600,100,4173,4307716
1600,100,4330,4212691
1600,100,4362,4216422
1600,100,4376,4210786
1600,100,4856,4249790
1600,100,4596,4225098
1600,100,4632,4246526
1600,100,4691,4248627
1600,100,4380,4278792
1600,100,4606,4257410
1600,100,4588,4191600
1600,100,4603,4251198
1600,100,4535,4549108
1600,100,4474,4225929
1600,100,4133,4213167
1600,100,4594,4196254
1600,100,4192,4809247
1600,100,4387,4590251
1600,100,4158,4236443
1600,100,4433,4235996
